sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj1,bright_lv1,stereo,0.009322,0.007704,0.006360,0.005248,
traj1,bright_lv2,stereo,0.007090,0.006205,0.005545,0.003431,
traj1,bright_lv3,stereo,0.006876,0.006111,0.005523,0.003152,
traj1,bright_lv4,stereo,0.007838,0.006896,0.006114,0.003726,
traj1,bright_lv5,stereo,FAIL,,,,
traj1,bright_lv5b,stereo,FAIL,,,,
traj1,bright_lv5c,stereo,0.007830,0.006760,0.005918,0.003951,
traj1,bright_lv5d,stereo,0.009835,0.007649,0.006597,0.006182,
traj1,bright_lv6,stereo,0.008349,0.007266,0.006482,0.004111,
